,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
404,ASIANPAINT,EQ,942.0,953.95,935.05,941.75,940.0,936.15,1600112,1507837046.05,2016-12-09,65882,INE021A01026
405,ASIANPAINT,EQ,967.0,968.0,936.0,939.15,940.0,969.9,1517103,1431629195.85,2016-12-01,62376,INE021A01026
406,ASIANPAINT,EQ,908.0,923.2,908.0,914.35,914.35,906.75,944657,866430920.85,2016-12-14,32349,INE021A01026
407,ASIANPAINT,EQ,874.75,874.75,852.0,855.7,856.2,876.55,1004015,864907419.95,2016-02-11,53028,INE021A01026
408,ASIANPAINT,EQ,865.0,895.95,865.0,889.35,887.0,863.7,1658831,1470845286.65,2016-02-04,55548,INE021A01026
409,ASIANPAINT,EQ,1039.2,1054.8,1035.1,1043.05,1042.15,1037.15,976222,1020400384.8,2016-11-04,42934,INE021A01026
410,ASIANPAINT,EQ,1000.0,1004.95,958.0,962.3,969.0,1011.3,2665967,2593300737.55,2016-11-11,88176,INE021A01026
411,ASIANPAINT,EQ,959.9,960.0,943.65,946.6,949.0,956.0,726047,689907602.55,2016-05-23,46256,INE021A01026
412,ASIANPAINT,EQ,850.0,861.9,842.75,860.0,861.0,851.55,651373,555643736.45,2016-04-11,27104,INE021A01026
413,ASIANPAINT,EQ,874.0,888.5,865.25,886.15,884.95,870.0,662760,581006289.1,2016-04-04,30090,INE021A01026
414,ASIANPAINT,EQ,880.3,882.0,862.1,864.9,865.95,884.6,1456263,1262407195.25,2016-03-16,52770,INE021A01026
415,ASIANPAINT,EQ,874.4,896.5,871.75,880.25,878.2,871.85,1061326,937855031.85,2016-03-03,49649,INE021A01026
416,ASIANPAINT,EQ,893.0,894.95,874.3,879.25,882.3,889.4,1301590,1150063630.55,2016-01-15,41299,INE021A01026
417,ASIANPAINT,EQ,1164.0,1173.7,1162.6,1165.05,1163.3,1163.6,966451,1129431830.55,2016-09-20,30753,INE021A01026
